Kenteken,Voertuigsoort,Merk,Handelsbenaming,Bruto BPM,Cilinderinhoud,Massa ledig voertuig,Toegestane maximum massa voertuig,Catalogusprijs,WAM verzekerd
62HPPP,Personenauto,FORD,FIESTA,1450,1299,906,1405,,Ja
ZD899S,Personenauto,AUDI,A3 SPORTBACK,4824,1498,1245,1855,41885,Ja
G065DS,Personenauto,VOLKSWAGEN,POLO,2031,999,1045,1610,23130,Ja
NH660B,Personenauto,PEUGEOT,308,2832,1560,1275,1870,28660,Ja
42ZF18,Personenauto,SKODA,S 110 R,,1107,850,1215,,Ja
NL047H,Personenauto,OPEL,KARL / VIVA,1693,999,839,1353,12103,Ja
73RHX4,Personenauto,OPEL,CORSA,,1248,1099,1635,17564,Ja
48JLH5,Personenauto,PEUGEOT,PEUGEOT 107,,998,780,1190,10795,Ja
93NRS9,Personenauto,VOLVO,S40,6653,1999,1260,1850,31599,Ja
19TFZT,Personenauto,VOLKSWAGEN,GOLF,8970,1984,1254,1850,,Ja
4KSF21,Personenauto,FIAT,FIAT 500,,875,945,1385,19305,Ja
63NNL5,Personenauto,VOLKSWAGEN,POLO,,1199,1050,1590,18600,Ja
JB973G,Personenauto,VOLKSWAGEN,POLO,3394,1390,993,1560,,Ja
01XRG7,Personenauto,BMW,X REIHE,18761,2979,1780,2395,82132,Ja
8KHT44,Personenauto,RENAULT,MEGANE SCENIC,3479,1995,1515,2092,38665,Ja
AM4314,Personenauto,VOLKSWAGEN,VW 1/11,,1131,720,1110,,Ja
RT807D,Personenauto,TOYOTA,TOYOTA YARIS HYBRID,411,1497,1060,1565,20625,Ja
26SXB5,Personenauto,RENAULT,TWINGO,,1149,839,1370,9635,Ja
47RRLS,Personenauto,BMW,3ER REIHE,14344,2497,1420,1965,56162,Ja
ZG248F,Personenauto,MINI,CLUBMAN COOPER,2528,1499,1295,1890,43560,Ja
TX014X,Personenauto,OPEL,MOKKA X,7637,1364,1294,1828,29666,Ja
J411FP,Personenauto,TOYOTA,TOYOTA AYGO,,998,805,1190,,Ja
55ZKL4,Personenauto,FIAT,FIAT PUNTO,94,1242,1005,1590,14820,Ja
28RXZ7,Personenauto,PEUGEOT,508,6243,1560,1405,2100,33200,Ja
07RNGG,Personenauto,FORD,FOCUS,5892,1999,1227,1795,,Ja
75XLN9,Personenauto,CHEVROLET,SPARK,,995,929,1367,10553,Ja
JX019B,Personenauto,RENAULT,CAPTUR,3380,898,1080,1653,22375,Ja
G599VK,Personenauto,PEUGEOT,208,2204,1199,1065,1595,22780,Ja
HX159L,Personenauto,VOLKSWAGEN,POLO,1495,999,1011,1560,18095,Ja
25NLGB,Personenauto,DAIHATSU,CUORE,666,989,695,1200,,Ja
KN715J,Personenauto,RENAULT,CLIO,2152,1461,1160,1711,22480,Ja
K865BZ,Personenauto,KIA,SPORTAGE,3133,1591,1314,1830,30423,Ja
53GKL1,Personenauto,VOLKSWAGEN,JETTA CL 51 KW,,1439,835,1330,,Ja
90LBVS,Personenauto,SEAT,CORDOBA-VARIO,3102,1390,1031,1516,,Ja
7TKN50,Personenauto,FIAT,FIAT 500,1327,1242,880,1320,17365,Ja
81TV58,Personenauto,JAGUAR,MK II 2.4,,,1480,,,Ja
GK536N,Personenauto,OPEL,ASTRA STATION WAGON,3320,1598,1215,1840,,Ja
19NLL5,Personenauto,MERCEDES-BENZ,SL 350,11977,3724,1670,2050,,Ja
NB224P,Personenauto,RENAULT,CAPTUR,1439,898,1076,1658,21586,Ja
62HXNL,Personenauto,TOYOTA,TOYOTA YARIS,3129,1299,885,1350,,Ja
SN387D,Personenauto,FORD,MONDEO,5361,1499,1415,2270,41575,Ja
91HXDL,Personenauto,HONDA,PRELUDE 2.2 VTEC E2,9743,2157,1280,1720,,Ja
52FVXN,Personenauto,JAGUAR CARS,JAGUAR S-TYPE 3.0L V6 EXECUTIVE,15374,2967,1605,2190,,Ja
50TZD3,Personenauto,PEUGEOT,508,5114,1598,1375,1995,30510,Ja
60HBH8,Personenauto,VOLKSWAGEN,PASSAT,6442,1390,1404,2080,32560,Ja
73NTK5,Personenauto,HONDA,HONDA CR-V,9724,1997,1505,2080,40100,Ja
77XTS9,Personenauto,PEUGEOT,208,,1199,950,1530,15920,Ja
TF305K,Personenauto,TOYOTA,TOYOTA YARIS,2216,998,955,1450,17125,Ja
29PJVF,Personenauto,MINI,MINI ONE,4250,1598,1040,1495,,Ja
6SNS16,Personenauto,RENAULT,TWINGO,1125,1149,839,1360,10185,Ja
12RJJX,Personenauto,SUZUKI,SWIFT,3177,1490,975,1485,12059,Ja
33XKB2,Personenauto,SUZUKI,SWIFT,987,1242,935,1480,12044,Ja
K869HL,Personenauto,VOLKSWAGEN,ID.3 PRO 150 KW,,,1694,2260,43675,Ja
80GPZB,Personenauto,OPEL,ASTRA-G-CARAVAN,3877,1598,1135,1730,,Ja
TZ146Z,Personenauto,AUDI,S3 SPORTBACK,4018,1984,1420,2005,66536,Ja
10LNF9,Personenauto,MERCEDES-BENZ,C 350 CDI 4MATIC,20244,2987,1710,2340,76235,Ja
JX104V,Personenauto,MITSUBISHI,MITSUBISHI ASX,5612,1590,1235,1870,21879,Ja
53KHK7,Personenauto,BMW,1ER REIHE,5705,1995,1240,1765,28593,Ja
65XNDX,Personenauto,CITROEN,CITROEN C1,715,998,780,1190,9339,Ja
66XXF9,Personenauto,TOYOTA,TOYOTA PRIUS PLUG-IN HYBRID,,1798,1400,1840,45889,Ja
K742JN,Personenauto,SMART,EQ FORTWO COUPE,,,995,1310,35357,Ja
TZ216L,Personenauto,HYUNDAI,TUCSON,9158,1591,1354,1895,32802,Ja
JD302N,Personenauto,MERCEDES-BENZ,C 200 CDI,6296,2143,1545,2185,53357,Ja
99NKSZ,Personenauto,SEAT,AROSA,2193,1390,874,1400,,Ja
XT539P,Personenauto,KIA,NIRO,,,1712,2230,45270,Ja
HH119J,Personenauto,SEAT,LEON,2029,999,1102,1720,24039,Ja
52ZJTD,Personenauto,OPEL,ASTRA,4792,1598,1170,1765,22389,Ja
9SJS77,Personenauto,OPEL,ASTRA,852,1398,1273,1885,21990,Ja
52XFDN,Personenauto,OPEL,ZAFIRA,6704,1796,1403,2095,28469,Ja
37ZDTJ,Personenauto,SEAT,LEON,4489,1390,1224,1819,23696,Ja
69XVH5,Personenauto,RENAULT,TWINGO,,1149,839,1360,9790,Ja
93STPD,Personenauto,PEUGEOT,206,3326,1360,925,1450,16138,Ja
6SRN34,Personenauto,SKODA,OCTAVIA,2375,1197,1130,1780,27139,Ja
65EZ68,Personenauto,TOYOTA,COROLLA 30 DE LUXE,,,830,,,Nee
49SJH1,Personenauto,VOLKSWAGEN,POLO,2996,1390,970,1550,15845,Ja
9TNN68,Personenauto,AUDI,A3 SPORTBACK,2940,1395,1200,1785,32840,Ja
HK828B,Personenauto,HYUNDAI,TUCSON,6743,1591,1354,1895,29495,Ja
TT867K,Personenauto,AUDI,Q2,3934,1395,1255,1840,42147,Ja
94HSN3,Personenauto,TOYOTA,TOYOTA AYGO,,998,815,1190,10710,Ja
54RKT7,Personenauto,TOYOTA,TOYOTA PRIUS,,1798,1345,1805,32940,Ja
HZ834X,Personenauto,MERCEDES-BENZ,B 180,5116,1595,1325,1960,41165,Ja
XP933F,Personenauto,NISSAN,NISSAN 370Z ROADSTER,13419,3696,1530,1885,84344,Ja
HT610V,Personenauto,VOLKSWAGEN,UP!,1564,999,840,1290,13021,Ja
7TLK26,Personenauto,MERCEDES-BENZ,E 200 CDI,10305,2143,1635,2300,70491,Ja
73DTHK,Personenauto,VOLKSWAGEN,POLO,2896,1390,918,1490,,Ja
78KKB6,Personenauto,VOLKSWAGEN,GOLF,766,1390,1128,1770,,Ja
JZ795H,Personenauto,AUDI,A4 LIMOUSINE,4992,1395,1350,1945,47557,Ja
83PXTH,Personenauto,VOLVO,V40,5255,1783,1255,1770,26329,Ja
63XVB9,Personenauto,MERCEDES-BENZ,190 D,,1983,1117,1640,,Ja
65LZHP,Personenauto,RENAULT,MEGANE SCENIC,4675,1598,1225,1800,,Ja
GR910G,Personenauto,OPEL,ASTRA STATION WAGON,4665,1796,1225,1870,,Ja
17PXND,Personenauto,RENAULT,MEGANE SCENIC,6155,1998,1375,1955,,Ja
36ZGVZ,Personenauto,RENAULT,MEGANE SCENIC,6632,1598,1389,1950,,Ja
TV347D,Personenauto,MAZDA,MAZDA CX-3,4061,1998,1170,1730,28740,Ja
9KLF50,Personenauto,AUDI,A6 AVANT,4288,1968,1625,2280,58376,Ja
84RNFK,Personenauto,VOLKSWAGEN,NEW BEETLE CABRIOLET,6825,1595,1268,1757,,Ja
30XKZS,Personenauto,VOLVO,XC90,9003,2521,2023,2700,,Ja
96HTH7,Personenauto,FORD,FIESTA,4554,1388,1001,1530,21976,Ja
KK459T,Personenauto,AUDI,A6 AVANT,6263,1968,1700,2355,73279,Ja
42RBTR,Personenauto,FORD,FOCUS C-MAX,5401,1798,1275,1910,,Ja
GV163L,Personenauto,DAIHATSU,CUORE,445,998,740,1250,,Ja
66NDJD,Personenauto,VOLKSWAGEN,GOLF CABR. 66 KW E2,6678,1781,1142,1580,,Nee
JX286S,Personenauto,HONDA,HR-V,4872,1498,1220,1790,33210,Ja
14RPBJ,Personenauto,FORD,FOCUS,4571,1388,1147,1710,,Ja
KK920S,Personenauto,PEUGEOT,208,2029,1199,950,1546,16590,Ja
